innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,innodb_stats_include_delete_marked,rpl_read_size,innodb_buffer_pool_instances,innodb_log_spin_cpu_abs_lwm,innodb_log_spin_cpu_pct_hwm,performance
28073984,10,0,2,11955200,2847744,35260416,28672,14810112,64487424,1,15,7168,158629116,25,85.25
40430592,19,0,0,12515328,8420352,52761600,45056,37568512,2898944,1,6,7168,80586629,45,63.55
44179456,43,1,1,4173824,16148480,38612992,21504,40548352,28607488,0,12,4096,768559850,74,67.26
71188480,48,1,1,6935552,4564992,50893824,34816,76643328,42500096,0,43,4096,470037793,91,49.62
64295936,9,0,0,226304,1971200,16983040,44032,40934400,21051392,1,49,3072,272943738,75,47.65
155261952,36,1,1,858112,72704,62808064,24576,94895104,49473536,0,24,3072,283556123,11,59.51
54930432,41,1,1,11723776,9758720,37706752,11264,50663424,38034432,1,33,7168,1240093746,12,57.18
314486784,12,1,1,766976,12790784,58135552,30720,115834880,42156032,1,18,2048,418647594,57,44.86
930138112,49,0,1,1807360,12149760,4212736,30720,85625856,44928000,0,2,7168,332735014,26,45.16
237861888,42,0,1,5925888,15400960,31840256,16384,72867840,29120512,0,5,5120,1730306188,21,45.1
549943296,14,0,1,7646208,8686592,30224384,34816,50751488,62220288,1,19,3072,249931232,78,46.24
106097664,26,0,1,5197824,3034112,32240640,23552,95860736,23784448,1,59,5120,232722154,22,46.41
3115084800,6,1,1,6038528,754688,48328704,27648,55904256,4788224,0,9,7168,893464834,80,39.5
55025664,38,1,2,5133312,12731392,30642176,3072,73892864,42400768,1,41,5120,814123317,65,51.99
111159296,40,1,1,8378368,4412416,17933312,4096,25421824,21597184,0,23,5120,8098052,34,47.49
1345106944,39,1,2,12878848,5352448,50289664,33792,98463744,21950464,1,54,2048,220056797,4,34.72
101657600,2,1,1,1614848,13070336,57915392,0,18407424,54138880,0,14,4096,161917196,32,52.08
2705697792,41,0,1,4191232,93184,21782528,26624,81668096,18061312,0,17,7168,297121857,57,53.68
81806336,23,1,0,15392768,69632,59728896,41984,67415040,30107648,1,40,5120,283349330,87,53.76
1431384064,19,0,0,6830080,92160,1683456,32768,5366784,15004672,1,52,6144,1380023689,74,47.26
1653857280,44,0,1,6171648,1467392,16243712,22528,36834304,56408064,0,37,5120,82216242,56,40.47
1767453696,37,1,1,3191808,16351232,54333440,22528,128310272,21812224,0,37,5120,522149105,92,40.41
1408658432,2,1,0,13100032,10881024,48509952,11264,42192896,23457792,1,19,6144,99940689,88,45.25
1149618176,21,0,1,4044800,607232,19761152,47104,91456512,49034240,0,56,4096,255799061,26,41.62
666960896,5,1,1,4649984,15792128,55578624,20480,94725120,19953664,0,25,7168,224951408,27,47.43
884633600,40,0,1,9719808,3334144,26593280,34816,104182784,22747136,1,27,7168,588446639,69,45
2910632960,36,1,1,11867136,4372480,59778048,27648,67657728,31208448,1,12,6144,1799356582,39,40.68
319453184,11,1,1,4226048,16338944,48082944,48128,31130624,5312512,1,5,4096,469137124,71,45.78
2472397824,22,0,1,15340544,13711360,14508032,28672,125913088,24796160,1,18,3072,357487197,35,39.69
246566912,41,0,1,3499008,2124800,44059648,15360,3875840,22336512,1,39,6144,466904037,85,46.21
709121024,49,0,1,10562560,8518656,18447360,30720,35482624,50021376,1,57,4096,1369711405,94,46.28
2841539584,12,0,1,4542464,13436928,48499712,48128,23768064,41334784,0,29,4096,144516929,23,39.95
764664832,47,0,1,11097088,13049856,61956096,17408,93184000,4615168,1,35,3072,240912707,44,46.35
603974656,38,1,1,10173440,13655040,57232384,29696,109263872,48812032,1,37,4096,105003668,64,45.11
579267584,33,0,1,16439296,9399296,17532928,7168,2466816,29541376,0,36,3072,201125537,97,46.53
844954624,16,1,1,8369152,1678336,9014272,50176,2048000,43916288,1,57,4096,297792012,76,45.33
236989440,38,0,1,7828480,475136,23219200,35840,80864256,26954752,0,28,5120,194126475,62,44.41
1723995136,48,0,1,9574400,4591616,54080512,13312,30732288,62346240,0,54,4096,279341387,48,39.67
112382976,20,0,1,8634368,7876608,22074368,16384,42677248,44390400,0,10,7168,22353455,41,47.66
476969984,25,0,1,2208768,13619200,50877440,14336,88856576,12106752,0,11,3072,338815491,46,45.32
730151936,10,0,1,7162880,9629696,36135936,15360,7362560,15561728,0,59,2048,206806224,1,46.2
842673152,47,1,1,2091008,10855424,8404992,11264,82613248,39524352,1,4,3072,243111410,43,46.27
416996352,45,0,1,420864,14437376,28742656,11264,117127168,53648384,0,42,6144,459132506,13,45.55
1027000320,12,1,1,13280256,721920,40366080,5120,40235008,22812672,0,33,4096,65990636,82,46.99
312058880,22,0,1,14306304,5002240,24297472,38912,40355840,9804800,1,63,6144,342101720,92,45.7
757017600,32,0,1,13237248,7937024,58776576,45056,94290944,47892480,0,3,5120,2858074030,60,45.48
689315840,27,0,1,16408576,2933760,15356928,22528,118557696,17769472,1,47,3072,230010836,19,46.11
928888832,17,0,1,11957248,7574528,35278848,21504,9426944,33349632,0,27,6144,1147074417,63,45.43
830625792,29,1,1,1211392,5925888,40177664,23552,73715712,11741184,0,8,6144,189857059,60,46.65
871479296,34,1,1,8658944,16208896,51859456,33792,132243456,20885504,1,42,6144,1062606734,21,46.46
277778432,10,0,1,14529536,15041536,46902272,46080,47260672,10856448,1,48,6144,2571963070,59,46.96
456514560,36,1,1,65536,6021120,24777728,12288,16283648,28354560,0,34,5120,442749070,21,46.2
226395136,48,1,1,6320128,12254208,49425408,31744,16887808,20450304,1,33,7168,105150018,4,45.74
873164800,11,1,1,14283776,11853824,53086208,33792,3864576,43368448,1,12,4096,741056580,62,46.88
295271424,47,1,1,8344576,13283328,10825728,10240,88222720,50754560,1,43,4096,481930647,38,45.1
3135897600,35,1,1,9641984,9630720,27368448,45056,89826304,32481280,0,50,7168,34012700,12,40.01
1004339200,23,0,1,1436672,4600832,49725440,6144,125736960,41383936,1,48,2048,407905736,32,45.66
522004480,20,1,1,6147072,15617024,4513792,41984,50546688,60560384,1,48,7168,490677946,52,45.78
442621952,24,0,1,11537408,2269184,56836096,4096,50872320,12811264,1,60,3072,342129864,79,46.26
1072035840,15,1,1,8113152,3295232,2193408,12288,123155456,43273216,0,28,2048,72548190,32,45.22
845146112,39,1,1,5805056,15450112,40804352,6144,36640768,19666944,0,61,6144,188841323,20,46.18
594125824,7,1,2,7241728,628736,66787328,14336,22173696,58529792,1,37,2048,403443727,57,47.24
2186618880,34,1,1,14374912,7907328,5943296,11264,4678656,45142016,0,6,2048,560036865,89,85.5
141739008,2,0,1,6394880,7871488,54257664,12288,76219392,36633600,0,2,4096,356429180,51,82.16
824121344,4,0,0,10376192,4667392,52124672,34816,99058688,59503616,0,46,2048,83520116,13,73.65
448502784,3,0,2,7667712,6577152,54533120,15360,110529536,22196224,1,43,7168,839214933,41,51.31
